id_course,ville,depart,arrivee,duree_estimee,distance,prix_eco,prix_confort,prix_confort_plus,heure_plage,disponibilite_vehicules,heure_plage_imputed,heure_num,is_pointe,is_nuit,dispo_ordinal,ville_encoded,vitesse_kmh,log_distance,log_duree,log_prix_eco
4061,Yaounde,Santa Lucia Mvan,Gare Voyageur Camrail,2.0,6.644,850.0,1250.0,1750.0,05h–06h,vert,0,5,0,1,0,1,120.0,2.0339210263780267,1.0986122886681098,6.7464121285733745
4062,Yaounde,Laboratoire Meka,Stade Ahmadou Ahidjo,22.0,4.77,1600.0,1700.0,2150.0,16h–17h,jaune,0,16,0,0,1,1,13.00909090909091,1.7526720805200082,3.1354942159291497,7.3783837129967145
4063,Yaounde,Tsinga,Niki Mokolo,7.0,1.641,2150.0,2300.0,2400.0,23h–24h,rouge,0,23,0,1,3,1,14.065714285714286,0.9711576333149952,2.0794415416798357,7.67368812926773
4064,Yaounde,Efoulan,Awae Concorde,28.0,7.5,1450.0,1850.0,,08h–09h,jaune,0,8,1,0,1,1,16.07142857142857,2.1400661634962708,3.367295829986474,7.280008252884188
4066,Yaounde,Carrefour Bastos,Etoa Meki,14.0,2.725,650.0,900.0,1400.0,12h–13h,jaune,0,12,0,0,1,1,11.678571428571429,1.315066851831523,2.70805020110221,6.478509642208569
4067,Yaounde,Sous-Préfecture Nlongkak,Biteng,28.0,7.889,1500.0,1900.0,3050.0,13h–14h,jaune,0,13,0,0,1,1,16.905,2.184814557259538,3.367295829986474,7.313886831633462
4068,Yaounde,Terminus Odza,Avenue Monseigneur Henri Vieter,38.0,17.284,1700.0,,,07h–08h,vert,0,7,1,0,0,1,27.290526315789474,2.906026360469498,3.6635616461296463,7.438971592395862
4069,Yaounde,Ekounou,Mairie De Yaoundé IV,5.0,1.092,550.0,650.0,,13h–14h,vert,0,13,0,0,0,1,13.104000000000001,0.7381205462026765,1.791759469228055,6.311734809152915
4070,Yaounde,Ekounou,Finexs Cameroun,17.0,6.132,950.0,1400.0,,09h–10h,orange,0,9,1,0,2,1,21.64235294117647,1.964591700000894,2.8903717578961645,6.85751406254539
4071,Yaounde,Prison Centrale de Yaoundé,Ecole Fustel De Coulanges,25.0,4.391,1200.0,1750.0,2000.0,16h–17h,vert,0,16,0,0,0,1,10.5384,1.6847308964695318,3.258096538021482,7.0909098220799835
4072,Yaounde,Kazoo Dragage,Commissariat de Police du 9e Arrondissement Mendong,52.0,5.749,1850.0,4100.0,5300.0,12h–13h,jaune,0,12,0,0,1,1,6.633461538461538,1.9093943457612694,3.970291913552122,7.523481312573497
4073,Yaounde,Sonel Nsam,Mimboman Terminus,16.0,5.974,1200.0,1800.0,2500.0,02h–03h,vert,0,2,0,1,0,1,22.4025,1.9421889482534593,2.833213344056216,7.0909098220799835
4074,Yaounde,Laboratoire Meka,Kazoo Dragage,8.0,2.294,700.0,950.0,1200.0,08h–09h,vert,0,8,1,0,0,1,17.205000000000002,1.1921026317554486,2.1972245773362196,6.55250788703459
4075,Yaounde,Lycée de Mimboman,Sidifel School Complex,6.0,5.614,450.0,500.0,700.0,19h–20h,jaune,0,19,1,0,1,1,56.13999999999999,1.889188614559601,1.9459101490553132,6.111467339502679
4076,Yaounde,Pharmacie de l'Intendance,Carrefour Bastos,10.0,3.778,900.0,1000.0,1450.0,21h–22h,vert,0,21,0,0,0,1,22.668000000000003,1.5640220489036178,2.3978952727983707,6.803505257608338
4077,Yaounde,Chapelle Obili,Emia,11.0,2.262,600.0,800.0,1250.0,15h–16h,vert,0,15,0,0,0,1,12.33818181818182,1.1823405041988222,2.4849066497880004,6.398594934535208
4078,Yaounde,Santa Lucia Mvan,Rue 8.138,6.0,5.115,550.0,700.0,,02h–03h,vert,0,2,0,1,0,1,51.15,1.8107447691391356,1.9459101490553132,6.311734809152915
4079,Yaounde,Carrefour Bastos,Olezoa,18.0,6.099,950.0,1350.0,2200.0,13h–14h,vert,0,13,0,0,0,1,20.330000000000002,1.959953929057249,2.9444389791664403,6.85751406254539
4080,Yaounde,Kazoo Dragage,Dispensary de Mvolyé,39.0,8.989,,4700.0,4850.0,12h–13h,vert,0,12,0,0,0,1,13.82923076923077,2.3014844875500127,3.6888794541139363,
4081,Yaounde,Carrefour Bastos,Ecole Publique d'Efoulan,26.0,8.465,1600.0,2300.0,2950.0,13h–14h,vert,0,13,0,0,0,1,19.534615384615385,2.247600784661286,3.295836866004329,7.3783837129967145
4082,Yaounde,Santa Lucia Mvan,Crtv Maison de la Radio,11.0,5.115,900.0,1300.0,1850.0,05h–06h,vert,0,5,0,1,0,1,27.900000000000002,1.8107447691391356,2.4849066497880004,6.803505257608338
4083,Yaounde,Rond Point Nlongkak,Gendamerie Mbankolo,16.0,4.535,750.0,1050.0,1750.0,12h–13h,vert,0,12,0,0,0,1,17.00625,1.7110915661606003,2.833213344056216,6.621405651764134
4084,Yaounde,Base Aorienne,Avenue Germaine Ahidjo,30.0,2.313,1200.0,,,17h–18h,jaune,0,17,1,0,1,1,4.626,1.1978541233177589,3.4339872044851463,7.0909098220799835
4085,Yaounde,Odza Petit Marché,Express Union,34.0,8.081,1750.0,2700.0,,13h–14h,vert,0,13,0,0,0,1,14.260588235294117,2.2061843187076913,3.5553480614894135,7.467942332285852
4086,Yaounde,Carrefour Meec,Chapelle Obili,19.0,2.86,1200.0,1300.0,,07h–08h,jaune,0,7,1,0,1,1,9.031578947368422,1.3506671834767394,2.995732273553991,7.0909098220799835
4087,Yaounde,Lycee de Biyemassi,Tribunal d'Ekounou,16.0,7.574,1900.0,2050.0,2150.0,15h–16h,jaune,0,15,0,0,1,1,28.4025,2.1487343681757856,2.833213344056216,7.550135342488429
4088,Yaounde,Playce carrefour,Stade Mballa-Eleveur,34.0,8.92,1700.0,2300.0,3950.0,14h–15h,vert,0,14,0,0,0,1,15.741176470588236,2.2945529212967815,3.5553480614894135,7.438971592395862
4089,Yaounde,Santa Lucia Mvan,MoneyGram,5.0,5.115,500.0,600.0,800.0,21h–22h,vert,0,21,0,0,0,1,61.38,1.8107447691391356,1.791759469228055,6.2166061010848646
4090,Yaounde,Cetic Charles Atangana,Le Fibi,25.0,7.208,1450.0,,2800.0,08h–09h,vert,0,8,1,0,0,1,17.2992,2.1051092884284137,3.258096538021482,7.280008252884188
4091,Yaounde,Marché de Nsam,Fleur D'or,8.0,1.721,350.0,,,15h–16h,vert,0,15,0,0,0,1,12.9075,1.0009994598011094,2.1972245773362196,5.860786223465865
4092,Yaounde,Avenue Monseigneur François Xavier Vogt,Mfoundi Market B,7.0,5.256,550.0,650.0,900.0,06h–07h,vert,0,6,0,0,0,1,45.05142857142857,1.83354100324301,2.0794415416798357,6.311734809152915
4093,Yaounde,Rue 5.549,Biyem-assi Stadium,35.0,6.402,2850.0,3600.0,4750.0,13h–14h,vert,0,13,0,0,0,1,10.974857142857143,2.001750233963964,3.58351893845611,7.955425088912672
4094,Yaounde,Dépôt Guinness Ahala,Calasanz Complex,8.0,2.172,700.0,950.0,1200.0,21h–22h,vert,0,21,0,0,0,1,16.290000000000003,1.1543623037726016,2.1972245773362196,6.55250788703459
4095,Yaounde,Rue 4.761,Boulangerie d'Essomba,5.0,4.152,600.0,600.0,,00h–01h,gris,0,0,0,1,0,1,49.824000000000005,1.6393849888020524,1.791759469228055,6.398594934535208
4096,Yaounde,Stade Ahmadou Ahidjo,Evasion Bar,18.0,4.828,1500.0,2950.0,,06h–07h,jaune,0,6,0,0,1,1,16.093333333333334,1.7626738883329585,2.9444389791664403,7.313886831633462
4097,Yaounde,Lycee de Biyemassi,Lycee Technique Ngoa Ekele,11.0,2.945,1350.0,1450.0,1900.0,15h–16h,vert,0,15,0,0,0,1,16.063636363636363,1.3724489542978375,2.4849066497880004,7.208600337960199
4098,Yaounde,Mansel Hôtel,United Express,5.0,1.303,500.0,650.0,850.0,08h–09h,vert,0,8,1,0,0,1,15.636,0.8342126208385481,1.791759469228055,6.2166061010848646
4099,Yaounde,Lycee de Biyemassi,Châtel Ekoumdoum,21.0,4.895,1900.0,2100.0,3000.0,15h–16h,vert,0,15,0,0,0,1,13.985714285714286,1.7741045339893342,3.091042453358316,7.550135342488429
4100,Yaounde,Lycee de Ngoa Ekelle,Lycée de Biyem-Assi,9.0,2.95,750.0,900.0,,07h–08h,vert,0,7,1,0,0,1,19.666666666666668,1.3737155789130306,2.302585092994046,6.621405651764134
4101,Yaounde,College Père Monti,Boulangerie d'Essomba,29.0,6.868,2200.0,,,15h–16h,gris,0,15,0,0,0,1,14.209655172413793,2.062803900526813,3.4011973816621555,7.696667081526462
4102,Yaounde,Lycee de Biyemassi,ELIG EFI,4.0,3.639,1150.0,1350.0,,14h–15h,vert,0,14,0,0,0,1,54.585,1.5344988257696064,1.6094379124341003,7.048386408721883
4103,Yaounde,Marché de Nsam,Challenge Bar,10.0,1.855,500.0,,,15h–16h,vert,0,15,0,0,0,1,11.13,1.0490718431079735,2.3978952727983707,6.2166061010848646
4105,Yaounde,Maison DAMAS,Biyem-Assi,10.0,2.842,600.0,800.0,1300.0,14h–15h,vert,0,14,0,0,0,1,17.052000000000003,1.345993064346365,2.3978952727983707,6.398594934535208
4106,Yaounde,Rue 4.077,Jean Tabi,41.0,7.614,2100.0,3150.0,,17h–18h,vert,0,17,1,0,0,1,11.142439024390244,2.153388786631919,3.7376696182833684,7.650168700845001
4107,Yaounde,Carrefour Bastos,Mendong Market,43.0,11.899,1700.0,2500.0,4150.0,12h–13h,jaune,0,12,0,0,1,1,16.60325581395349,2.557149788982999,3.784189633918261,7.438971592395862
4108,Yaounde,Carrefour Market EKIE,Ecole Maternelle Notre Dame de Rosaire,43.0,11.524,2100.0,,,09h–10h,rouge,0,9,1,0,3,1,16.08,2.527646803464159,3.784189633918261,7.650168700845001
4109,Yaounde,Kazoo Dragage,Commissariat du 6eme Arrondissement,14.0,5.749,1700.0,1950.0,,12h–13h,vert,0,12,0,0,0,1,24.638571428571428,1.9093943457612694,2.70805020110221,7.438971592395862
6697,Yaounde,Nkolndongo,Complexe Beac,19.0,6.215,950.0,1350.0,2150.0,11h–12h,vert,0,11,0,0,0,1,19.626315789473686,1.9761621922258341,2.995732273553991,6.85751406254539
4110,Yaounde,Men travelL agence,Cami Toyota,19.0,5.489,1550.0,1800.0,2300.0,18h–19h,vert,0,18,1,0,0,1,17.333684210526314,1.8701084356390314,2.995732273553991,7.346655163176539
4111,Yaounde,Carrefour Bastos,Hôpital Général De Yaoundé,14.0,5.447,1850.0,2300.0,2450.0,22h–23h,vert,0,22,0,1,0,1,23.344285714285714,1.863614906328483,2.70805020110221,7.523481312573497
4112,Yaounde,Santa Barbara Solen,PlaYce Yaoundé,26.0,7.343,1900.0,2250.0,3150.0,17h–18h,vert,0,17,1,0,0,1,16.945384615384615,2.1214228639199373,3.295836866004329,7.550135342488429
4113,Yaounde,Biyem-Assi,College Diderot,15.0,6.544,1000.0,1450.0,2000.0,02h–03h,vert,0,2,0,1,0,1,26.176,2.020752545331156,2.772588722239781,6.90875477931522
4114,Yaounde,Titi Garage,Brigade ODZA,49.0,10.673,2250.0,2750.0,4450.0,19h–20h,jaune,0,19,1,0,1,1,13.068979591836735,2.4572784826705263,3.912023005428146,7.719129840906732
4115,Yaounde,Playce carrefour,Express Union Agence de Eleveur,27.0,2.794,1500.0,1950.0,3100.0,14h–15h,vert,0,14,0,0,0,1,6.208888888888889,1.3334208715128224,3.332204510175204,7.313886831633462
4116,Yaounde,Laboratoire Meka,Carrefour Anguissa,15.0,6.566,1000.0,1450.0,2050.0,02h–03h,vert,0,2,0,1,0,1,26.264,2.0236645262108377,2.772588722239781,6.90875477931522
4117,Yaounde,Odza Petit Marché,Moliva,28.0,11.894,1850.0,2550.0,,14h–15h,vert,0,14,0,0,0,1,25.487142857142857,2.5567620868884284,3.367295829986474,7.523481312573497
4118,Yaounde,Dépôt Guinness Ahala,Rue 7.610,10.0,7.875,900.0,1100.0,1450.0,21h–22h,jaune,0,21,0,0,1,1,47.25,2.1832383353614797,2.3978952727983707,6.803505257608338
4119,Yaounde,Olezoa,Le Fibi,11.0,6.032,3300.0,3450.0,3600.0,02h–03h,vert,0,2,0,1,0,1,32.901818181818186,1.950471160382876,2.4849066497880004,8.101980731853192
4120,Yaounde,Auberge Bleu Odza,Deo Gracias Emana - Afrique Future,43.0,18.424,3250.0,3650.0,6100.0,19h–20h,vert,0,19,1,0,0,1,25.707906976744184,2.9665094148770876,3.784189633918261,8.086717920303906
4121,Yaounde,Rue 4.761,Petit Marché Mimboman,5.0,4.182,550.0,750.0,950.0,00h–01h,vert,0,0,0,1,0,1,50.184000000000005,1.6451910821399183,1.791759469228055,6.311734809152915
4122,Yaounde,Etoa Meki,Ceper,7.0,2.06,450.0,550.0,900.0,13h–14h,vert,0,13,0,0,0,1,17.65714285714286,1.1184149159642893,2.0794415416798357,6.111467339502679
4123,Yaounde,Avenue Monseigneur François Xavier Vogt,Ecole Publique d'Efoulan,14.0,1.68,800.0,1300.0,1500.0,12h–13h,vert,0,12,0,0,0,1,7.199999999999999,0.9858167945227653,2.70805020110221,6.68586094706836
4124,Yaounde,Rue 5.549,Carrefour Mbog-Abang,39.0,7.266,3400.0,3950.0,5200.0,13h–14h,jaune,0,13,0,0,1,1,11.178461538461539,2.1121507160895407,3.6888794541139363,8.131824785007195
4125,Yaounde,Odza Petit Marché,Jean Tabi,26.0,15.696,2000.0,,,02h–03h,vert,0,2,0,1,0,1,36.22153846153846,2.8151691697748995,3.295836866004329,7.601402334583733
